JAVA DEVELOPER,InnomizeTech,05/06/2021,Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
Bray Leino Splash,16/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh,
IOS DEVELOPER,CÔNG TY TNHH NITRO TECH ASIA INC,12/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
ANDROID DEVELOPER,CÔNG TY TNHH NITRO TECH ASIA INC,12/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
BRSE,CÔNG TY TNHH NITRO TECH ASIA INC,"2/05/2021
",Thoả thuận,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Đà Nẵng
ANGULAR,Công ty TNHH phần mềm Kaopiz,05/06/2021,Tới 27 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN IT,Công ty TNHH Đầu Tư Thương Mại Dịch Vụ Năng Lượng Xanh,16/05/2021,10-12 triệu,Toàn thời gian,2 người,Trưởng nhóm,2 năm,Nam,Hồ Chí Minh
LẬP TRÌNH VIÊN,CÔNG TY CỔ PHẦN CODE TỐT,15/06/2021,9-13 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
LẬP TRÌNH VIÊN .NET,Công ty TNHH HQSOFT,16/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
DEVELOPER,Công ty Cổ phần VTI,16/05/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
Công ty Cổ phần VTI,17/06/2021,Tới 10 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội,
Công ty TNHH HQSOFT,16/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh,
CÔNG TY TNHH MÁY TÍNH ND,16/05/2021, 6-8 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Cần Thơ,
LẬP TRÌNH VIÊN .NET,Công ty Cổ phần Tin học Bình Minh (Bitsco),15/05/2021,10-40 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
công ty tnhh kỹ thuật - công nghệ hoàng phát,15/06/2021,6-8 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Bình Định,
ReactPlus JSC,16/05/2021,Tới 35 triệu,Toàn thời gian,4 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội,
TESTER,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Truyền thông Nam Việt,16/05/2021,8-18 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
Công ty cố phần Vân Thanh,16/05/2021,Tới 15 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nam,Hà Nội,
PHÂN TÍCH NGHIỆP VỤ,Công ty Cổ phần tập đoàn Công nghệ Thăng Long,16/06/2021,10-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
MOBILE DEVELOPER,"Magenest.,JSC",16/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
PYTHON,"Magenest.,JSC",16/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
FRONTEND DEVELOPER,"Magenest.,JSC",16/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
BUSINESS ANALYST,ATALINK TECHNOLOGY JOINT STOCK COMPANY,16/05/2021,Trên 23 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
MAGENTO DEVELOPER,"Magenest.,JSC",16/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
PYTHON,"Magenest.,JSC",16/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
