,company,title,date,salary,workingform,target,position,experience,sex,city
1067,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,,03/06/2021,Tới 40 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1068,PHP,CÔNG TY TNHH MOBILE APP,23/05/2021,10-15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1069,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,,03/06/2021,Tới 40 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1070,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,,23/05/2021,15-25 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1071,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,,"3/05/2021
",Tới 40 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1072,LẬP TRÌNH VIÊN,Ngân Hàng TMCP Sài Gòn SCB,23/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1073,LẬP TRÌNH VIÊN,CÔNG TY TNHH CÔNG NGHỆ VÀ TRUYỀN THÔNG IIT,23/05/2021,2-5 triệu,Toàn thời gian,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1074,QUALITY CONTROL,CÔNG TY CỔ PHẦN PHẦN MỀM K-SOFT,23/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1075,REACT NATIVE,PowerGate Software,23/05/2021,18-35 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1076,LẬP TRÌNH VIÊN,Công ty TNHH Gameloft Vietnam,"3/05/2021
",Trên 8 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1077,GRAPHIC DESIGNER,"Greenmazing Co.,LTD",23/05/2021,10-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1078,PowerGate Software,23/05/2021,10-12 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nữ,Hà Nội,
1079,LẬP TRÌNH WEB,Vina Tech,23/05/2021,10-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1080,Công Ty TNHH Dịch Vụ Trực Tuyến Hoàng Linh,,01/07/2021,10-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
1081,CÔNG TY TRÁCH NHIỆM HỮU HẠN VALOFE VIỆT NAM,,22/07/2021,Tới 40 triệu,Toàn thời gian,3 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1082,Công ty Cổ phần Tekmedi,,23/05/2021,10-14 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1083,FRONT-END DEVELOPER,CÔNG TY CỔ PHẦN ESTUARY,31/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1084,MOBILE DEVELOPER,Công Ty TNHH MTV Phần Mềm Javac Technology,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1085,PHP DEVELOPER,Công Ty TNHH MTV Phần Mềm Javac Technology,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1086,FRONTEND DEVELOPER,Hamsa Technologies,23/05/2021,Tới 25 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1087,BACKEND DEVELOPER,Early Start JSC,23/05/2021,Tới 7 triệu,Thực tập,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1088,BACKEND DEVELOPER,Early Start JSC,23/05/2021,Tới 35 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1089,Early Start JSC,,23/05/2021,Tới 40 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1090,IZISolution,,23/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1091,PYTHON,IZISolution,23/05/2021,"Thoả thuận
",Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1092,CÔNG TY CỔ PHẦN GIẢI PHÁP CHĂM SÓC SỨC KHỎE TÂM HỢP,,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1093,IZISolution,,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1094,BUSINESS ANALYST,IZISolution,03/06/2021,10-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1095,PYTHON,IZISolution,23/05/2021,Thoả thuận,Bán thời gian,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1096,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,FPT Software,23/05/2021,Thoả thuận,Toàn thời gian,10 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1097,CONTENT MARKETING,Công Ty Cổ Phần Truyền Thông Kim Cương,23/05/2021,10-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1098,LẬP TRÌNH VIÊN JAVA,Evotek JSC,03/06/2021,15-40 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1099,BUSINESS ANALYST,Evotek JSC,23/05/2021,15-40 triệu,Toàn thời gian,2 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
1100,FPT Software,,23/05/2021,5-7 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1101,BUSINESS ANALYST,Công ty Cổ phần Công nghệ HiveTech,"3/05/2021
",6-18 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1102,NHÂN SỰ,Công ty Cổ phần Giải pháp Phần mềm Biplus Việt Nam,23/05/2021,Thoả thuận,Bán thời gian,3 người,Nhân viên,Không yêu cầu,Nữ,Hà Nội
1103,TESTER,Công ty Cổ phần Công nghệ HiveTech,23/05/2021,12-25 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1104,Học Viện Công Nghệ BKACAD,,23/05/2021,7-12 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1105,Công ty TNHH Top Forida,,23/05/2021,Tới 17 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1106,THỰC TẬP SINH,Tập đoàn Digital Novaon,23/05/2021,"Thoả thuận
",Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1107,Công ty Cổ phần Tập đoàn Đầu Tư Thăng Long,,23/05/2021,13-18 triệu,Toàn thời gian,1 người,Trưởng nhóm,3 năm,Nam,Hà Nội
1108,NHÂN VIÊN KỸ THUẬT,Công Ty TNHH Thương Mại Dịch Vụ Thiết Bị Văn Phòng Phú Mỹ,05/06/2021,7-10 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nam,Quận 12
1109,BACKEND DEVELOPER,Công ty Cổ Phần Dịch vụ Di động Thể Hệ Mới (NMS):,23/05/2021,10-20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1110,LẬP TRÌNH PHP,Công ty Cổ phần Công nghệ Bota,23/05/2021,Thoả thuận,Toàn thời gian,5 người,Thực tập sinh,Dưới 1 năm,Nam,Hà Nội
1111,MARKETING ONLINE,Công ty Cổ phần công nghệ và truyền thông Niềm Tin,10/05/2021,15-25 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1112,TELESALES,Công ty Cổ phần công nghệ và truyền thông Niềm Tin,09/05/2021,15-25 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1113,DESIGNER,CÔNG TY TNHH TRUYỀN THÔNG PNK,23/05/2021,Tới 15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1114,CHUYÊN VIÊN IT,CÔNG TY CỔ PHẦN SÓI BIỂN TRUNG THỰC,23/05/2021,Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1115,SYSTEM ENGINEER,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,23/05/2021,13-15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1116,DEVOPS ENGINEER,InnomizeTech,23/05/2021,25-35 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1117,TRƯỞNG NHÓM MARKETING,CÔNG TY CỔ PHẦN CÔNG NGHỆ HOMEGY,23/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1118,FULLSTACK DEVELOPER,ROWBOAT SOFTWARE,04/06/2021,Trên 10 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Tân Bình
1119,CHUYÊN VIÊN TUYỂN DỤNG,Công ty Cổ phần Công nghệ Bota,23/05/2021,8-10 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1120,PHP,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,23/05/2021,Tới 15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1121,LẬP TRÌNH VIÊN,Công ty cổ phần Hợp Nhất Quốc tế,23/05/2021,Tới 15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1122,NHÂN VIÊN IT,Công ty CPPT Giáo Dục IGARTEN,23/05/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1123,CÔNG TY TNHH ICONTECH,,23/05/2021,Thoả thuận,Toàn thời gian,1 người,Trưởng/Phó phòng,4 năm,Nam,Hồ Chí Minh
1124,DIGITAL MARKETING,Công Ty TNHH Đầu tư và thương mại dịch vụ hiếu đức,22/05/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1125,THỰC TẬP SINH,Tập đoàn Digital Novaon,22/05/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1126,THỰC TẬP SINH,Tập đoàn Digital Novaon,22/05/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1127,DIGITAL MARKETING,CELLPHONES,22/05/2021,10-14 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1128,ANDROID DEVELOPER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1129,DATA SCIENTIST,"PIXTA Vietnam Co., Ltd.",31/05/2021,Tới 6 triệu,Thực tập,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1130,PYTHON,Công ty TNHH Giải pháp Công Nghệ thông tin và truyền thông Qsoft,09/07/2021,Tới 35 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nam,Hà Nội
1131,WEB DEVELOPER,Công ty TNHH Fois Việt Nam,22/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Đà Nẵng
1132,LẬP TRÌNH VIÊN MOBILE,CÔNG TY TNHH SOFT WORLD VIỆT NAM,22/05/2021,Trên 15 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1133,DIGITAL MARKETING,CÔNG TY TNHH THƯƠNG MẠI PHÂN PHỐI VIỆT LÊ,22/05/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
1134,CÔNG TY CỔ PHẦN GIẢI PHÁP V-WATER,,22/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1135,DIGITAL MARKETING,Công Ty Vimax,31/05/2021,Trên 15 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1136,PYTHON,Công ty cổ phần ứng dụng phần mềm mobio việt nam,22/05/2021,25-35 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Nam,Hà Nội
1137,CÔNG TY TNHH CÔNG NGHỆ VIETBAY,,18/06/2021,9-15 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1138,MOBILE DEVELOPER,CÔNG TY CỔ PHẦN CNV HOLDINGS,22/05/2021,8-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1139,PHP DEVELOPER,2NF Software,12/06/2021,Tới 35 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1140,DEVELOPER,CÔNG TY TNHH FISYS,22/05/2021,10-14 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1141,DEVELOPER,Công ty TNHH INTERSPACE VIỆT NAM,21/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1142,CÔNG TY TNHH VÒNG XANH,,22/05/2021,13-14 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1143,JAVA DEVELOPER,Công ty TNHH INTERSPACE VIỆT NAM,21/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1144,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,,21/07/2021,Tới 35 triệu,Toàn thời gian,Không giới hạn,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
1145,UNITY DEVELOPER,Apero,20/07/2021,10-30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1146,ANDROID,Apero,22/05/2021,Tới 30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1147,Công ty TNHH Kay Group,,22/05/2021,15-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1148,IOS DEVELOPER,Apero,22/05/2021,10-30 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1149,NHÂN VIÊN KINH DOANH,Công ty CP Phần mềm MOR,22/05/2021,5-12 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1150,FRONT-END DEVELOPER,Công ty cổ phần ứng dụng phần mềm mobio việt nam,22/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1151,TESTER,CÔNG TY TNHH W2SOLUTION VIỆT NAM,05/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1152,TESTER,CÔNG TY TNHH W2SOLUTION VIỆT NAM,05/06/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1153,ASP.NET,CÔNG TY TNHH W2SOLUTION VIỆT NAM,11/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1154,PHÂN TÍCH DỮ LIỆU,Công ty TNHH Crown Uk Việt Nam,22/05/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1155,JAVA DEVELOPER,3S Intersoft JSC,22/05/2021,15-25 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1156,Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,,31/05/2021,5-9 triệu,Toàn thời gian,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1157,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ THẾ GIỚI CÔNG NGHỆ XANH,22/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1158,ASP.NET,CÔNG TY TNHH W2SOLUTION VIỆT NAM,11/06/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1159,PHÂN TÍCH NGHIỆP VỤ,Công ty Cổ Phần Dịch vụ Di động Thể Hệ Mới (NMS):,"2/05/2021
",10-20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nữ,Hà Nội
1160,DIGITAL MARKETING,Công ty TNHH Thương mại và Đầu tư ACIGROUP,22/05/2021,6-8 triệu,Toàn thời gian,1 người,Thực tập sinh,Không yêu cầu,Nam,Hà Nội
1161,DIGITAL MARKETING,Công ty CP Thời trang Bimart,22/05/2021,Tới 30 triệu,Toàn thời gian,1 người,Trưởng/Phó phòng,2 năm,Không yêu cầu,Hà Nội
1162,LẬP TRÌNH VIÊN PHP,Công Ty TNHH MTV Đầu Tư và Công Nghệ AIKING,22/05/2021,8-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1163,PowerGate Software,,22/05/2021,6-10 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nữ,Hà Nội
1164,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐIỆN TỬ TIN HỌC THÁI CHUNG,,22/05/2021,7-10 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Bình Dương
1165,NHÂN VIÊN MARKETING,CÔNG TY TNHH MOSAIC,31/05/2021,15-30 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1166,DEVELOPER,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,21/07/2021,Trên 23 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1167,FRONT-END DEVELOPER,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,21/07/2021,Tới 16 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1168,NODEJS,CÔNG TY TNHH CÔNG NGHỆ & DỊCH VỤ ĐẤT VIỆT,14/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1169,REACTJS,CÔNG TY TNHH CÔNG NGHỆ & DỊCH VỤ ĐẤT VIỆT,25/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1170,JAVA,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,05/06/2021,Tới 30 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Nam,Hà Nội
1171,IOS,Công ty TNHH Mintpot Vina,30/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1172,ANDROID DEVELOPER,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,21/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1173,PROJECT MANAGER,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,21/07/2021,Tới 35 triệu,Toàn thời gian,Không giới hạn,Trưởng/Phó phòng,1 năm,Không yêu cầu,Hà Nội
1174,JAVA,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,21/07/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Trưởng nhóm,4 năm,Không yêu cầu,Hà Nội
1175,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,,"1/07/2021
",Thoả thuận,Toàn thời gian,Không giới hạn,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
1176,JAVASCRIPT,Công ty TNHH Mintpot Vina,30/06/2021,Tới 40 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1177,TESTER,Công ty Cổ phần Truyền thông và Dịch vụ Nodo,30/06/2021,Tới 15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1178,TESTER,Công ty Cổ phần Truyền thông và Dịch vụ Nodo,30/06/2021,Thoả thuận,Thực tập,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1179,JAVA,Công ty Cổ phần Truyền thông và Dịch vụ Nodo,30/06/2021,Thoả thuận,Thực tập,5 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1180,GAME DESIGNER,Công ty Cổ phần tập đoàn Công nghệ Thăng Long,22/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1181,NHÂN VIÊN KỸ THUẬT,Công Ty TNHH Máy Tính Phú Cường,28/05/2021,Trên 8 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
1182,NHÂN VIÊN KẾ TOÁN,CÔNG TY CỔ PHẦN TẬP ĐOÀN ZILA VIỆT NAM,22/05/2021,Trên 6 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Cầu Giấy
1183,FPT Software,,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1184,PYTHON,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1185,FRONT-END DEVELOPER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1186,PROJECT MANAGER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1187,DEVELOPER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,4 người,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1188,LẬP TRÌNH VIÊN,Cong ty CO phan BUCA,"2/05/2021
",Thoả thuận,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1189,LẬP TRÌNH VIÊN,Công ty Cổ phần Đầu tư TNT và các cộng sự,12/06/2021,12-17 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
1190,NODEJS,TC ITECH VIETNAM,22/05/2021,Thoả thuận,Toàn thời gian,10 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1191,JAVA DEVELOPER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1192,DEVELOPER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1193,FPT Software,,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1194,NHÂN VIÊN IT,Công ty TNHH XNK Vật liệu SUN,30/05/2021,8-10 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1195,LẬP TRÌNH VIÊN PHP,PHÒNG KHÁM Y HỌC CHỨNG CỨ DOCTOR CHECK,12/06/2021,15-20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1196,DEVELOPER,Công ty cổ phần Infomed Việt Nam,22/05/2021,"Thoả thuận
",Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1197,FPT Software,,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1198,SOFTWARE ENGINEER,FPT Software,22/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1199,PHP DEVELOPER,Công ty Cổ phần Công nghệ Bota,22/05/2021,10-23 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Nam,Hà Nội
1200,LẬP TRÌNH VIÊN,Công ty Cổ phần Công nghệ Bota,22/05/2021,Tới 15 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1201,NHÂN VIÊN MARKETING,Công Ty Cổ Phần Đầu Tư Và Phát Triển Du Lịch Hà Việt,26/05/2021,8-10 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1202,FRONTEND DEVELOPER,Công ty cổ phần công nghệ Gapo,22/05/2021,Trên 20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1203,PHP DEVELOPER,Splus Software,22/05/2021,8-14 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1204,NHÂN VIÊN MARKETING,Công ty Cổ Phần Thời Trang Chapel,22/05/2021,6-15 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1205,Công ty TNHH Asia Pacific Engravers (Việt Nam),,14/07/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1206,LẬP TRÌNH VIÊN PHP,Công ty Cổ phần Đầu tư Phát triển và Chuyển giao Công nghệ Việt Nam,31/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1207,NHÂN VIÊN KINH DOANH,Công ty Cổ phần dịch vụ và phát triển công nghệ AHT,22/05/2021,7-15 triệu,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1208,PHP,Công ty Cổ Phần Dịch vụ Di động Thể Hệ Mới (NMS):,"2/05/2021
",Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1209,TESTER,Công ty Cổ phần tập đoàn Công nghệ Thăng Long,12/06/2021,Tới 15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Nữ,Hà Nội
1210,NHÂN VIÊN SEO,CÔNG TY TNHH LOGICWEB,"2/05/2021
",Trên 10 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1211,LẬP TRÌNH VIÊN .NET,Công ty Cổ phần Tổng hợp Việt Nhật (Vinicorp),22/05/2021,Tới 20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1212,DEVOPS,Công ty cổ phần công nghệ Gapo,22/05/2021,23-35 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
