,company,title,date,salary,workingform,target,position,experience,sex,city
626,LẬP TRÌNH VIÊN,Công ty TNHH BTASKEE,03/06/2021,Trên 35 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Nam,Hồ Chí Minh
627,FRONTEND DEVELOPER,Azoom VietNam Inc,03/06/2021,Trên 12 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
628,PYTHON,Azoom VietNam Inc,03/06/2021,12-35 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
629,LẬP TRÌNH VIÊN,Công ty TNHH BTASKEE,03/06/2021,Trên 45 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Nam,Hồ Chí Minh
630,DIGITAL MARKETING,Công Ty Future Brand Việt Nam,17/05/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
631,DEVOPS,Công ty TNHH KM SOFT,03/06/2021,Tới 46 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
632,BUSINESS ANALYST,Công ty TNHH KM SOFT,03/06/2021,15-30 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
633,LẬP TRÌNH VIÊN PHP,Công Ty Gzone,"2/07/2021
",10-20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
634,Sân Đình Games,,03/06/2021,Tới 30 triệu,Toàn thời gian,1 người,Quản lý / Giám sát,2 năm,Không yêu cầu,Hà Nội
635,DEVELOPER,CÔNG TY CP CÔNG NGHỆ TESSE,03/06/2021,"7-15 triệu
",Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
636,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,Công ty Cổ phần Công nghệ thông tin Đông Nam Á,03/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
637,NHÂN VIÊN KỸ THUẬT,CÔNG TY TNHH THƯƠNG MẠI GEARVN,30/06/2021,Tới 10 triệu,Toàn thời gian,10 người,Nhân viên,Dưới 1 năm,Nam,Hồ Chí Minh
